_ACN,Time_Date,Time_Local Time Of Day,Place_State Reference,Aircraft 1_Aircraft Operator,Aircraft 1_Mission,Aircraft 1_Make Model Name,Aircraft 1_Flight Phase,Component_Aircraft Component,Person 1_Function,Person 1_Qualification,Person 1_Human Factors,Events_Anomaly,Events_Detector,Events_When Detected,Events_Result,Assessments_Contributing Factors / Situations,Assessments_Primary Problem,Report 1_Narrative,Report 1_Synopsis
1893085,202204,0601-1200,US,Air Carrier,Passenger,B737-900,Final Approach,Leading Edge Flap,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,Troubleshooting; Workload; Communication Breakdown; Confusion; Situational Awareness,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; Flight Crew Executed Go Around / Missed Approach; General Flight Cancelled / Delayed; General Maintenance Action,Human Factors; Aircraft; Procedure,Aircraft,The aircraft had a history of flap issues and issues with the EECs that the Captain and I discussed in ops before the flight. In the carry forward items section of the release there was a long time fault with the #1 EEC. Then in the log history on Day 0 the aircraft had a leading edge flaps transit light stays on write up. There were a series of write ups with the flaps in the history saying #2 transit light on. The first one starting on Day 0; then Day 1 was the second occurrence; then Day 2; then on our flight on Day 3. All of these write ups had the leading edge flaps transit light on. We did discuss this history together before the flight.Normal flight up until top of descent point. Thunderstorms were starting to pop up into central [state] and there was holding into one of the airports; we think it was ZZZ1. Frequency was very saturated and difficult to get any word with ZZZ2 center or Center. We asked for lower 4 times on frequency before given our first descent and that this point we were 5000+ feet high on the arrival. When finally given descent via ZZZZZ1 landing east we told ATC we would be do are best but were already very high. Speeds on the arrival were complied with and full speed brakes were used from the TOD which was my best guess FL350 down to a cleared to bottom of 6;000 feet. When we switched to approach we were vectored off the arrival for traffic and told to maintain 6;000 feet. Approach gave us a vector off the arrival and then vectored us on ILS approach course. Thunder storms were building all around ZZZ and there were some buildups and rain that we went through when being vectored and re-vectored onto the arrival. At some point during these vectors back onto the ILS Runway XXL approach course we were given a speed reduction to 210 knots. This occurred somewhere on the base leg to final. At that time the Captain called for flaps 1. All indications with the Flap position indicator showed flaps 1; the handle was at flaps 1; but the LE Flaps transit light was still illuminated. A quick glance up at the Leading Edge Devices annunciator panel showed 1 amber light; the rest were green. The amber light was located on the left hand side underneath the flaps 1 number at the top of the annunciator. We were concerned with the approaching thunderstorms to the ZZZ airport so I pulled out the paper Quick Reference Handbook and we began running through the procedure while continuing on the approach. Went to the flight controls tab; then the leading edge flaps transit light page read the notes out loud quickly and then read through point 1 where it gives you the option to choose 1. We read through the first one and ruled it out and had a quick discussion that were was no roll or any indication of any asymmetry. Read the second one and again after some quick discussion agreed it was our problem. Went to step 7 and started to plan for a flaps 15 landing. We set Vref 15 +15 knots. This is where I made an initial error. I selected flaps 15 Vref speed and then put +15 in the wind additive so I think the flaps 15 speed was 160 and I put the plus 15 in the wind additive for a speed of 165 knots initially. Then step 9 is use normal wind additive winds were like 150@9 at the time so would of been + 5 but I did not change anything at this point. Step 10 is to put the ground proximity flap inhibit switch to inhibit so I confirmed that with the Captain and did that. Somewhere right in here we got are last turn on to the approach course and were cleared for the approach. The next step was to calculate landing distance so I had to go to my IPAD this the tables are removed in the Quick Reference Handbook for that. Hit they hyperlinks for the 900ER and found the table and read out the landing distance first for the Trailing Edge Flap Asymmetry Flap lever 15 and then I realized this was not the right table and found the Leading edge flaps transit flaps 15 aircraft condition. We were approximately 145;000 pounds so I read out 5;000 feet needed for good braking and 7;000 for medium. I then looked at the adjustments to landing distance and the only one that applied was the add per C above ISA and it was minimal. Then went to step 3 for the 15% safety margin and if it went down to medium braking we needing about 8;200 feet of runway and less than 6;000 feet for good. The rain was not hitting the airport currently so we expected to have 600 braking. The runway is listed as 9;000 feet long on the 10-9 and 8;400 ft. available beyond the threshold. I did all this as fast as I could and while we were intercepting the glide slope and starting down on the approach. All through this the center and approach frequencies were completely saturated with constant communication from ATC to other aircraft and us with no real significant breaks between radio transmissions. I read aloud steps 13 and 14 and then went right into the deferred items because we were at that point already. Captain called for gear and flaps 15 somewhere in the middle of the deferred items checklist we finished the checklist somewhere between 1;500 feet and 1;000 feet. Captain asked if we were good and we both agreed we were to continue the approach. I double checked the whole procedure reading it quickly through again and realized I set the flaps 15 speed wrong so by the I think Vref 15 was 149 I added the 15 knots to 164 and put that in on the speed line and then changed the wind additive to +5 so we had an approach speed of 169. I did this right before we were at 1;000 feet. At some point during all of that we were switched over to Tower and cleared to land. There was a corporate jet on the runway and he was being told told we were fast approaching and to vacate the runway. Then given expedite instructions and then a little above 500 feet. tower issued go around instructions to us.We were given a heading slightly off from runway heading an initial climb to 2;000 feet Captain gave all the correct go around commands we went to heading select and flew the Tower assigned heading; we had a discussion of the missed approach instructions because Captain wanted to make sure he heard them correctly and also a discussion about going all the way to clean maneuvering speed or leaving flaps down. Captain wanted to try and recycle the flaps to see if we got the light again. So we did go all the way to flaps up and after takeoff. Eventually Tower gave us a turn to the downwind and a climb to 4;000 feet and switched us back over to approach. Approach re-vectored us on to the course for another ILS XXL approach. Captain redid an abbreviated approach brief and then we selected flaps 1 again and go the LE Flaps transit light. We went through the Quick Reference Handbook again and completed all the steps to the deferred item landing checklist. We completed the deferred item checklist after the gear was selected down and that finished the procedure. While being vectored I did let approach know that we were going to have a final approach speed of 170 knots we never [requested priority handling] or let any outside source know of the flap system malfunction. Our main concern was getting into the field before the thunderstorms passed over it. Captain made an uneventful flaps 15 landing. We exited at [taxiway] 1 and were told to go straight to ramp and ramp told us to go into [the gate]. We complied with instructions and safely parked. Completed the parking checklist and then called ops to let them know of the maintenance problem and Captain put the write up into the ELB.,B737 First Officer reported operating an aircraft with a long history of leading edge flap asymmetry discrepancies. This aircraft had a repeat discrepancy occur during approach to landing. The flight crew performed a go around and complied with the QRH procedures and rejoined the approach and landing at destination airport.
1893160,202204,0601-1200,US,Air Carrier,Passenger,B737-700,Climb,Communication Systems,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Physiological - Other,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Illness / Injury,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition,Aircraft; Human Factors,Human Factors,Aircraft X started out as a normal; uneventful departure and climb. At around 35;000 ft on climb out; and prior to cruise; the FO (First Officer) asked if he could go back to the lavatory. I called back to the a FA and got his restroom break set up. While waiting for the 'ok to come out' callback from the a FA; the FO vomited all over the center control pedestal and my right side. After a few seconds to realize what had just happened; I made sure the aircraft was still operating normally (Autopilot B and a VNAV level off to cruise at 37;000 ft). The FO was obviously terribly embarrassed; but he was able to act as my Pilot Monitoring for the rest of the flight. He was not incapacitated; but I instructed him that I would take over as Pilot Flying. I wanted him to just be a very thorough PM (pilot monitoring) for the rest of the flight to back me up with my additional tasks.I then called the A FA again to let them know what had happened; and that we would need some additional galley supplies for an attempted clean up. While attempting to use the intercom; we realized that the entire communications system (VHF 1; VHF 2; intercom; both CA (Captain) and FOs Audio Control panels; headsets; and hand mics) was either failed or working incorrectly. One of the radio transmitters developed an intermittent stuck mike; yet none of the microphone transmit keys anywhere in the cockpit were being pressed. We were unable to transmit on either VHF 1 or 2; but could intermittently receive and transmit on ATIS on VHF 2. We attempted every possible transmitter/receiver combination we could think of; calls in the blind; etc. While I was doing that; the FO was in the Quick Reference Handbook reviewing to see if anything was directly applicable in the Communications or General sections. Since this was not working; I decided to use my authority to ensure a safe outcome. I set the transponder; and sent Dispatch an ACARS briefly explaining what was going on. I asked them for priority on our behalf; and advised we would continue to ZZZ via the filed route and fly the RNAV RNP M with our ETA. Amidst all this going on; the FO mentioned trying to put the Audio Control Panel into Alternate Mode (which forces VHF 1 to the CA side only; disables interphone; etc). When I put the CAs ACP (Audio Control Panel) into Alternate Mode; I was able to regain intermittent transmit ability on VHF 1. We then contacted Center; explained what was going on; and advised them of our plan in the event we lost communications further along in the flight. I then called the flight attendants; explained what was going on; and did a test briefing at the end to make sure we were all on the same page. I then made 2 PAs to the cabin. The first was the standard 'prior to descent/goodbye PA'; the second a few minutes later was an explanation that they could possibly see some priority vehicles near the aircraft on arrival. I simply explained that we had a radio malfunction; but the aircraft was safe and that we would be landing shortly. The FO and I then completed all the normal approach checklists and procedures. The descent; approach; and landing were routine and safe. Since VHF 1 was working intermittently; I was able to get a handoff from Center to ZZZ Tower. I told Tower we would be unable to make any of the ZZZ Channel Traffic calls; so he asked another plane to do it for us and kept the GA traffic off the final approach course for Runway 8. We arrived at the gate; and the FO was met by ZZZ paramedics for evaluation. I spoke with the ZZZ gate agents; and then wrote up the inoperative equipment in the logbook for ZZZ maintenance. I then called Dispatch; the FODO (Flight Operations Duty Officer); and completed this required report.,B737-700 flight crew reported communication equipment problems following pilot illness incident.
1893277,202204,0601-1200,US,Air Carrier,Passenger,B737 Undifferentiated or Other Model,Cruise,Cockpit Window,First Officer; Pilot Flying,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Aircraft Aircraft Damaged; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft,Aircraft,Noticed Captain's forward windscreen delaminating and arcing. A few seconds later; a loud pop; and the window shattered. It appears to be the outer panel. We begin the diversion to ZZZ and [requested priority handling]. There were no pressurization issues. We ran all QRH procedures and checklists and landed uneventfully in ZZZ.There wasn't anything we (the Crew) could've done to prevent this event. But; I was told numerous times yesterday that this event is happening 4-5 times a month.  Can you please tell me WHY this is happening?  This is potentially a very dangerous situation.  Why is it happening so frequently?,B737 flight crew reported the Captain's forward windscreen delaminated and shattered. The flight crew performed a diversion to uneventful landing.
1893440,202204,0001-0600,FO,Air Carrier,Passenger,A321,Final Approach,Indicating and Warning - Landing Gear,,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,During approach; upon gear extension; we received WHEEL N/W STRG FAULT. We coordinated with Tower for go-around instructions and went around. After performing the go-around and switching to departure we conducted the non-normal per SOP and entered a hold over ZZZZZ. We advised departure of our nose wheel steering fault and coordinated with them to have a tug relocate to the runway. ATC requested priority handling on our behalf and crash and fire rescue also met us after landing. We sent an ACARS to Dispatch; made multiple PAs for the passengers and advised inflight. ATC vectored us back in line for a second approach. We advised the Tower once again of our issue and; after landing; we cleared on FR and stopped clear of Runway XXL. Crash and fire rescue evaluated the aircraft and found no issues. Once the tug was hooked up we were towed to gate. After block in we entered the discrepancy into the logbook and called Dispatch to clarify the event with them.,A321 pilot reported a WHEEL N/W STEERING message on gear extension. The flight crew elected to perform a go-around and complied with the Quick Reference Procedures. ATC assigned priority handling and the flight crew completed a precautionary landing at destination airport.
1893703,202204,1201-1800,US,Air Carrier,Passenger,B737-900,Final Approach,Rudder Trim System,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control,Person Flight Crew,,Flight Crew Took Evasive Action; Flight Crew Overcame Equipment Problem; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,While on final approach we noticed that the rudder trim was failed after the autopilot was disengaged. Manual rudder inputs operated normal and aircraft controlled and flew as expected. We landed without incident and notified maintenance.,B737-900 Captain reported electric rudder trim failed after auto pilot was disengaged on final approach. The flight crew continued the approach to landing and notified maintenance.
1893988,202204,1801-2400,US,Air Carrier,Passenger,A319,Climb,Airframe,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,Confusion; Distraction; Human-Machine Interface; Troubleshooting; Workload; Situational Awareness; Time Pressure,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Weight And Balance; Deviation / Discrepancy - Procedural Maintenance,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,Some point after cleanup; as the Pilot Flying; I noticed an unusual vibration in the airframe; like something was hanging. The vibration continued and at about 8;000 feet; I mentioned it to the FO (First Officer). Both of us have less than 400 hours in the Airbus fleet; and at that point; I was thinking it might still be something normal for an A319; though it was clear by then it wasn't turbulence-driven. We accelerated after 10;000 feet to 320 knots and the vibrations got slightly more noticeable. The FO pulled out his QRH and showed me the checklist for unusual vibrations. I slowed the aircraft to about 305 knots and elected to transfer aircraft control to the FO so that I could run the checklist. Upon attempting to diagnose the problem; it seemed that the vibrations were intermittent and not fully dependent on airspeed. The number 1 engine N1 vibration on first look was .9; which I felt was a bit high; but vibrations continued later with vibration indications all below .5; and the vibrations did not vary with thrust. The airframe vibration checklist is not a true checklist but appears to be a bunch of bullets for crew awareness. It explicitly states that aircraft vibrations due to flight controls 'do not represent handling or performance concerns.' The vibrations initially resembled the symptoms listed in the QRH as flight control vibrations; so we continued our climb. At 14;000 feet the Number 2 Flight Attendant called from the aft galley; to notify me of significant aircraft vibrations; unlike anything she had ever felt. I told her that the vibrations were a known problem in the Airbus fleet. I viewed her report as confirming the verbiage in the QRH; so we continued. But she also indicated that she only flew Airbus trips and her seniority number indicated over XX years as a Flight Attendant (FA); and she was insistent that she had never experienced these vibrations before. So at the least; that information suggested an atypical problem. I called the Number 1 FA to ask what she was experiencing. She said that she felt some minor vibrations but nothing that concerned her. She also suggested the Number 2 FA had a flair for drama; in so many words. We continued the climb; but I asked the FO to slow us a little more to 290; while we considered the QRH guidance. The way the QRH is written; it suggests troubleshooting the problem; which seems to conflict with the FOM section concerning troubleshooting. Upon discussion; we elected to put in 1.5 units of rudder trim for a short while to try to alleviate the vibrations; which appeared effective.Throughout the climb; the vibrations continued intermittently with varying intensity. At about 30;000 feet; the FO and I decided that the vibrations were not fitting any one specific problem listed in the QRH. I still didn't have enough information to decide upon whether to continue the flight; but I reasoned that the lower dynamic pressure at a higher altitude would be as safe or safer; while we continued to try to diagnose the problem. I had the FO slow to 260 KIAS while I prepared to call Dispatch to see if I could reach an Airbus specialist. I was interrupted by the Number 2 who called to repeat her concerns to me; before I could complete the call. I explained to her again that what she was experiencing was described in our checklist and that I could only go by the checklist. At this point; though; I still wasn't sure which specific problem we had. We were experiencing 'characteristics' that were listed under both elevator and rudder vibrations. On crew-phone; the Dispatcher was able to connect me to an Airbus maintenance specialist. By now; we had leveled off at a cruise altitude of 34;000 feet. I described the symptoms to him; and he didn't seem to understand any better than us what we were experiencing. I mentioned that the elevator vibe was supposed to appear above 280 knots; the rudder vibe was supposed to appear above 260 knots; and by this point; we were .77 Mach and 255knots and still experiencing the vibrations intermittently. The maintenance technician had no explanation and as ZZZ1 was 45 miles off the nose; I told the maintenance tech and the Dispatcher that we were diverting to ZZZ1. They both concurred; and I broke down the phone patch.The FO had heard me when I said we were diverting and concurred. I asked him to get a clearance to divert to ZZZ1 and to set the cockpit up for our arrival. We decided to keep the speed back at 250 KIAS for the descent; and I instructed the FO to not use speed brakes as a precaution; as we had decided we had a malfunction of unknown origin. The FO mentioned that we would be overweight by a few thousand pounds so I told him to [receive priority] and request ARFF (Airport Rescue and Firefighting) meet us after landing. ATC vectored us to manage our altitude loss. I discontinued the Airframe Vibration analysis and ran the Non-Routine Landing Considerations OD checklist as a Precautionary landing. After talking to the flight attendants and the passengers; I briefed the arrival and approach to the FO. Then I assumed pilot flying duties while the FO completed normal procedures checklists. ATC had offered an RNAV to [Runway] XXC; but I requested an ILS to XXR as I wanted to have the best possible indication of any pitch variations. I configured the aircraft and slowed early so we would have some altitude in case any controllability issues occurred in the landing configuration. I elected to land flaps full if things were normal up to CONF 3 as we were only a few thousand pounds above max landing weight; and we had plenty of go-around thrust. The aircraft handled fine; so we dropped flaps to full; though the FO and I agreed that there seemed to be slightly abnormal vibrations all the way to landing.Touchdown and landing rollout were normal. We asked the tower and fire chief if they saw anything unusual as we were ending the rollout. They said no; so I elected to taxi clear. I made a PA to the passengers reminding them that the emergency vehicles that we were expecting would be visible and that they would follow us as we taxied to the gate. I realize now in writing this account that I forgot to put the overweight landing in the logbook. I was also reminded by another pilot that the Airbus has an overweight landing checklist that we forgot to run; although the FO and I accomplished everything on the checklist in considering the overweight landing.That would depend upon what Maintenance discovers about this problem.There is some confusion in the way the relevant section in the QRH is written; and the direction in the QRH to troubleshoot the problem; which appears in various malfunctions; should be reconciled with FOM section which directs not to troubleshoot. Also; the Airframe Vibration checklist has zero guidance; if air frame vibrations don't fall into any of the listed categories. Obviously; there are too many possible causes of unusual vibrations to list them all; but some direction as to if/when to land based upon some generic criteria like vibe intensity; etc.; would have been nice. Additionally; we are trained in the school; over and over again to run V1 cuts; and we never or rarely run an overweight landing checklist. A simple bullet in the Non-Routine Landing Checklist suggesting to run the overweight landing checklist; time/conditions permitting; would have been helpful to us.,Pilot reported aircraft making unusual vibrations which led to a diversion to another airport.
1894320,202204,1801-2400,FO,Air Carrier,Passenger,A320,Cruise,,,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),Time Pressure; Workload,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Smoke / Fire / Fumes / Odor,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed in Emergency Condition; Flight Crew Took Evasive Action; General Maintenance Action,Aircraft,Aircraft,Enroute from ZZZ to ZZZZ (Aircraft X); we received an ECAM warning message for FWD and AFT Cargo Smoke. The message cleared; came back; and cleared again. We requested and were cleared direct ZZZZ which was the closest airport. Upon contact with ZZZ Center; we requested priority. I spoke with dispatch and maintenance control regarding the indication. I briefed inflight of the situation and that it was a code yellow. We landed at ZZZZ; stopped on the runway; and ARFF inspected the fuselage with infrared. We communicated to the customers to remain seated while the ARFF conducted their inspection. We were cleared to taxi to the gate and deplaned normally. ECAM messages entered into logbook.,A320 Pilot reported ECAM warning for forward and aft cargo smoke.
1894446,202204,0601-1200,US,Air Carrier,Passenger,B737-700,Final Approach,Trailing Edge Flap,Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Landed As Precaution; Flight Crew Took Evasive Action; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,On approach in to ZZZ; whilst conducting OE on a new hire First Officer (FO) we had a trailing edge flap malfunction. We were flying a 737-700; which has a flaps 30 speed of 165 kts. We were told to maintain 180 kts. to FAF; which occurred at about 1;500 ft. AGL. We therefore had approximately 500 ft. to slow the aircraft and select flaps 30 to meet stabilized approach criteria.The Pilot Flying (PF) requested gear down and flaps 15 approaching glide slope intercept. As I was doing OE; my focus was on watching the FO slow down to 165 kts. so we could select flap 30. I did not notice that when selected to 15; the flaps had stopped at about 8 degrees. When the FO requested flaps 30 and landing check; I ran the checklist and saw that the flaps were not at 30. By this time we were at 1;100 ft. AGL. I instructed the FO to initiate a missed approach and informed Tower that we were going around due to a system malfunction. The missed approach was well flown by the FO; and I felt comfortable having him continue to fly while I worked the problem; and I set the speed at 200 kts.; so not to over speed or stress the flaps. I called back and told the Flight Attendants that we had a malfunction and would need a few minutes before returning to land and that I would call back when I had time and brief them more comprehensively. I made a PA to the passengers that we had an abnormal indication and we would return to land as soon as we had finished our checklists; and that there was no reason to be concerned. I then sent an ACARS message to dispatch alerting them that were would request priority handling due to a flap issue.We completed the QRH procedures; then requested priority handling with ATC; as we would be landing in a non-normal configuration. I called back to the Flight Attendants and briefed them using the TEST method and informed them that we would land normally and that they could expect a normal taxi to the gate. We followed the QRH and selected flaps 15 using the ALTN system; and landed normally. We informed ATC on the ground that we did not require further assistance; but a truck followed us to the gate per their protocol.At the gate we met with maintenance personnel and spoke with the Chief Pilot.We both felt comfortable and able to continue with our scheduled flying; so we did.,737-700 Captain reported a trailing edge flap problem resulted in a go around to perform the QRH procedures. The flight crew then requested priority handling and continued the approach at destination airport.
1895571,202204,1201-1800,FO,Air Carrier,Passenger,B737-800,Initial Approach,Flap/Slat Control System,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Troubleshooting; Situational Awareness; Distraction,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Person Flight Crew,,Flight Crew Executed Go Around / Missed Approach,Human Factors; Aircraft,Human Factors,During initial approach to destination (ZZZZ); LE FLAP TRANSIT light flickered on then off with flaps in up position. At flaps selected 25; LE FLAP TRANSIT light illuminated and failed to extinguish. Overhead panel indicated #2 slat in transit. We executed a missed approach to assess the problem. C/W QRH LE FLAP TRANSIT checklist except that I inadvertently transitioned to the Trailing Edge Flap Disagree checklist via hyperlink. This subsequently resulted in an approach and landing at Vref 40 + 55. The correct configuration and speed should have been Vref 15 + 15. [We advised ATC] and we made an approach and landing without further issue.After the initial missed approach to assess our conditions; ATC issued many altitude; airspeed and heading instructions which distracted and slowed our checklist progress. In fact we reminded ATC we were a [priority] aircraft. [Request priority handling] sooner; perhaps mitigating ATC distraction.,B737-800 flight crew reported Leading Edge device malfunction on approach and used incorrect checklist to address problem.
1895634,202204,1801-2400,US,Air Carrier,Passenger,A320,Cruise,Hydraulic Main System,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,During the cruise segment; the ECAM alerted with HYD Y RSVR OVHT; Y ENG 2 PUMP LO PR; & Y SYS LO PR in Amber.  The ECAMs directed us to turn off the PTU and the Engine 2 Yellow Hydraulic Pump.  We consulted the Flight Handbook and monitored the Brake Accumulator pressure for the remainder of the flight and determined that we would have the Parking Brake on Landing.  The Status Page showed a number of associated systems had failed; including Nose Wheel Steering.  We decided to [request priority handling] out of an abundance of caution; and contacted Dispatch via ACARS to tell them we would need to be towed off the runway after landing.  We briefed the Flight Attendants; and made a PA informing the passengers of our situation. The remainder of the flight was uneventful.  The OVHT condition went out passing about FL200 on the descent and the Status page directed us to select Eng 2 HYD Pump ON during approach.  The Amber Fault light extinguished initially; but came on again soon after.  We landed without incident; stopped straight ahead on the runway with a single; steady application of brakes and the Engine 1 Reverser.  Once stopped; we set the parking brake with the Accumulator pressure; waited 3 minutes; and then shut down both engines.  The Fire department inspected the Landing Gear and Brakes; gave us the 'All Clear;' and we were towed to the gate with the APU powering the aircraft systems.,Captain reported multiple ECAM messages relating to Yellow Hydraulic System while at cruise. The flight crew requested priority handling and continued to the destination.
1895870,202204,0001-0600,US,Air Carrier,Passenger,A320,Cruise,Hydraulic Main System,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Communication Breakdown; Troubleshooting,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Flight Cancelled / Delayed,Human Factors; Aircraft,Aircraft,During the cruise segment; the ECAM alerted with HDY Y RSVR OVHT; Y ENG 2 PUMP LO PR; and Y SYS LO PR in Amber. The ECAMs directed us to turn off the PTU and the Engine 2 Yellow Hydraulic Pump. We consulted the Flight Handbook and monitored the Brake Accumulator pressure for the remainder of the flight and determined that we would have the Parking Brake on Landing. The Status Page showed a number of associated systems had failed; including Nose Wheel Steering. We decided to [request priority handling] out of an abundance of caution; and contacted Dispatch via ACARS to tell them we would need to be towed off the runway after landing. We briefed the Flight Attendants; and made a PA informing the passengers of our situation. The remainder of the flight was uneventful. The OVHT condition went out passing about FL200 on the descent and the Status page directed us to select Eng 2 Hyd Pump ON during approach. The Amber Fault light extinguished initially; but came on again soon after. We landed without incident; stopped straight ahead on the runway with a single; steady application of brakes and the Engine 1 Reverser. Once stopped; we set the parking brake with the Accumulator pressure; waited 3 minutes; and then shut down both engines. The Fire department inspected the Landing Gear and Brakes; gave us the 'All Clear;' and we were towed to the gate with the APU powering the aircraft systems.My only recommendation would be for the Ground Crew to double check the aircraft type for the issue. The Tug crew came out to the runway but had brought a 737 tow bar; so there was a short delay in getting towed to the gate while the correct tow bar was brought.,A320 Captain reported multiple ECAM alerts related to Yellow Hydraulic System. The flight crew elected to request priority handling and performed a precautionary landing at destination airport. The flight crew requested a tow to the gate.
1897211,202205,0601-1200,US,Air Carrier,Passenger,B737-800,Climb,Horizontal Stabilizer Trim,Pilot Not Flying; Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine; Flight Crew Instrument,Time Pressure,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Clearance,Person Flight Crew,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew Returned To Departure Airport; General Maintenance Action,Aircraft,Aircraft,I was the pilot monitoring on this flight. First Officer (FO) was hand flying the airplane after takeoff. At about 8000 ft. he said the stab trim wasn't working. We tried my switch; moved the yoke; and checked circuit breakers. Nothing; so we accomplished the QRH procedure. Left with no electric stab trim; no Autopilots; and a flaps 15 landing required. After consulting with Dispatch; I decided to return to ZZZ1. While I was very busy with dispatch; ATC; flight attendants; passengers; checking landing distance; and normal checklists; the FO was maintaining aircraft control in a flawless manner; even with many speed and altitude changes on the arrival into ZZZ1. We [requested priority handling] and FO made a great landing on XL at ZZZ1. Taxied off runway and to the gate.,B737-800 Captain reported loss of electric stabilizer trim and Autopilot failures which resulted in return to departure airport.
